Title,Year,Director,Actors,Rating,Runtime,Genre,Release_Date,Plot_Summary
The American President,1995,Rob Reiner,"Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox",6.8,114,Comedy,1995-11-17,"A widowed U.S. President running for reelection and an environmental lobbyist fall in love. It's all above-board, but ""politics is perception,"" and sparks fly anyway."
Sleepless in Seattle,1993,Nora Ephron,"Tom Hanks, Meg Ryan, Ross Malinger, Rita Wilson",6.8,105,Comedy,1993-06-25,A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.
Working Girl,1988,Mike Nichols,"Melanie Griffith, Harrison Ford, Sigourney Weaver, Alec Baldwin",6.8,113,Comedy,1988-12-21,"When a secretary's idea is stolen by her boss, she seizes an opportunity to steal it back by pretending she has her boss' job."
Heartbreak Ridge,1986,Clint Eastwood,"Clint Eastwood, Marsha Mason, Everett McGill, Moses Gunn",6.8,130,Drama,1986-12-05,"Hard-nosed, hard-living Marine Gunnery Sergeant Tom Highway clashes with his superiors and his ex-wife as he takes command of a spoiled recon platoon with a bad attitude."
Rocky IV,1985,Sylvester Stallone,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers",6.8,91,Drama,1985-11-27,"Rocky Balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: Drago, a six-foot-four, 261-pound fighter who has the backing of the Soviet Union."
Rocky III,1982,Sylvester Stallone,"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers",6.8,99,Drama,1982-05-28,"Rocky faces the ultimate challenge from a powerful new contender, and must turn to a former rival to help regain his throne as the undisputed fighting champion."
Saturday Night Fever,1977,John Badham,"John Travolta, Karen Lynn Gorney, Barry Miller, Joseph Cali",6.8,118,Drama,1977-12-16,"Anxious about his future after high school, a 19-year-old Italian-American from Brooklyn tries to escape the harsh reality of his bleak family life by dominating the dance floor at the local disco."
Emma.,2020,Autumn de Wilde,"Anya Taylor-Joy, Johnny Flynn, Mia Goth, Josh O'Connor",6.7,124,Comedy,2020-03-06,"In 1800s England, a well meaning but selfish young woman meddles in the love lives of her friends."
Three Thousand Years of Longing,2022,George Miller,"Tilda Swinton, Idris Elba, Erdil Yasaroglu, Sarah Houbolt",6.7,108,Drama,2022-08-26,"A lonely scholar, on a trip to Istanbul, discovers a Djinn who offers her three wishes in exchange for his freedom."
The Lost Daughter,2021,Maggie Gyllenhaal,"Olivia Colman, Jessie Buckley, Dakota Johnson, Ed Harris",6.7,121,Drama,2021-12-31,A woman's beach vacation takes a dark turn when she begins to confront the troubles of her past.
The Call of the Wild,2020,Chris Sanders,"Harrison Ford, Omar Sy, Cara Gee, Dan Stevens",6.7,100,Adventure,2020-02-21,A sled dog struggles for survival in the wilds of the Yukon.
The Professor,2018,Wayne Roberts,"Johnny Depp, Rosemarie DeWitt, Odessa Young, Danny Huston",6.7,90,Comedy,2018-05-17,A college professor lives his life with reckless abandon after being diagnosed with a terminal illness.
